block,lpips_mean,lpips_std,clip_mean,clip_std,count,lpips_95ci,clip_95ci
Reference,0.0,0.0,0.27828369140625,0.024245152872324087,20,0.0,0.010625906749688623
down_blocks.0.resnets.0,0.7333631753921509,0.054220660847509365,0.139361572265625,0.028790485091129532,20,0.02376325235423849,0.012617986426716132
down_blocks.0.resnets.1,0.4154250115156174,0.06283975560571914,0.28104248046875,0.03002846373486561,20,0.027540737183876843,0.013160554489525158
down_blocks.1.resnets.0,0.45705073326826096,0.100992834093802,0.27818603515625,0.02985093470454111,20,0.044262061085723524,0.013082748961487256
down_blocks.1.resnets.1,0.3057978868484497,0.10016331839466641,0.27857666015625,0.026354629470743175,20,0.04389850980135612,0.011550425631606603
down_blocks.2.resnets.0,0.5228286370635032,0.08759625140370464,0.27503662109375,0.027361151528787934,20,0.0383907498517176,0.011991553373164253
down_blocks.2.resnets.1,0.2695926532149315,0.08853353458493862,0.27535400390625,0.024339295594105314,20,0.03880153231756927,0.010667166616684598
mid_block.resnets.0,0.2397830881178379,0.0722693986166967,0.27645263671875,0.025751250972973837,20,0.03167346044799276,0.011285983345520511
mid_block.resnets.1,0.1315107610076666,0.03516702830838442,0.279266357421875,0.02413348341643898,20,0.015412629709384573,0.0105769654527922
up_blocks.0.resnets.0,0.3475924238562584,0.06557462173906572,0.27635498046875,0.031661063094308335,20,0.02873934511424774,0.01387607270648152
up_blocks.0.resnets.1,0.17011045590043067,0.02973011331407416,0.2802001953125,0.024704545024721827,20,0.01302979665241211,0.010827244237582516
up_blocks.0.resnets.2,0.15668826662003993,0.033246788841114885,0.280133056640625,0.025991255420701173,20,0.014571047656933608,0.011391169932484553
up_blocks.1.resnets.0,0.19888963997364045,0.047620888167607775,0.279083251953125,0.02616713856332737,20,0.02087077444597053,0.011468254118434213
up_blocks.1.resnets.1,0.1679102558642626,0.06025782521322733,0.279461669921875,0.027034829328940555,20,0.026409156297203105,0.011848536363364756
up_blocks.1.resnets.2,0.20141650214791298,0.045652713029633515,0.28177490234375,0.024958028822593323,20,0.020008183659543977,0.01093833841021667
up_blocks.2.resnets.0,0.2748064063489437,0.04925865242751689,0.281903076171875,0.02889129650726219,20,0.02158855628036071,0.01266216897787474
up_blocks.2.resnets.1,0.7026913672685623,0.05473421956005078,0.1435516357421875,0.03562764838524188,20,0.023988329383807745,0.015614505358900844
up_blocks.2.resnets.2,0.8513079524040222,0.04948208380653161,0.1319122314453125,0.035137644942182064,20,0.02168647939971026,0.01539975188135427
